Image Index,Extracted Text,chip,LOT,serial number,batch number,location
0,ColdADC NBNA38.00 08266 2422,ColdADC,NBNA38.00,08266,2422,LSU
1,ColdADC NBNA38.00 06255 2422,ColdADC,NBNA38.00,06255,2422,LSU
2,ColdADC NBNA38.00 08235 2422,ColdADC,NBNA38.00,08235,2422,LSU
3,ColdADC NENA38.60 08231 2422,ColdADC,NBNA38.00,08231,2422,LSU
4,ColdADC NBNA38.00 09191 2422,ColdADC,NBNA38.00,09191,2422,LSU
5,ColdADC NBNA38.00 09187 2422,ColdADC,NBNA38.00,09187,2422,LSU
6,ColdADC NBNA38.00 08262 2422,ColdADC,NBNA38.00,08262,2422,LSU
7,ColdADC NBNA38.00 08261 2422,ColdADC,NBNA38.00,08261,2422,LSU
8,ColdADC NBNA38.00 08234 2422,ColdADC,NBNA38.00,08234,2422,LSU
9,ColdADC NBNA38.00 08230 2422,ColdADC,NBNA38.00,08230,2422,LSU
10,ColdADC NBNA38.00 09190 2422,ColdADC,NBNA38.00,09190,2422,LSU
11,ColdADC NBNA38.00 09186 2422,ColdADC,NBNA38.00,09186,2422,LSU
12,ColdADC NBNA38.00 08260 2422,ColdADC,NBNA38.00,08260,2422,LSU
13,ColdADC  NENA38.00 08256 2422,ColdADC,NBNA38.00,08256,2422,LSU
14,ColdADC ' NENA38.00 108233 2422,ColdADC,NBNA38.00,08233,2422,LSU
15,ColdADC  NBNA38.00 08229 2422,ColdADC,NBNA38.00,08229,2422,LSU
16,ColdADC ' NBNA38.00 109189 2422 ,ColdADC,NBNA38.00,09189,2422,LSU
17,ColdADC  NBNA38. 00 109185 2422,ColdADC,NBNA38.00,09185,2422,LSU
18,ColdADC NBNA38.00 108268 2422,ColdADC,NBNA38.00,08268,2422,LSU
19,ColdADC - NENA38.00 106251 2422,ColdADC,NBNA38.00,06251,2422,LSU
20,ColdADC  NBNA38. 00 08228 2422,ColdADC,NBNA38.00,08228,2422,LSU
21,ColdADC  NBNA38.00 108224 2422,ColdADC,NBNA38.00,08224,2422,LSU
22,ColdADC  NBNA38.00 109184 2422,ColdADC,NBNA38.00,09184,2422,LSU
23,ColdADC  NBNA38. 00 109180 2422,ColdADC,NBNA38.00,09180,2422,LSU
24,ColdADC NBNA38. 00 08259 2422,ColdADC,NBNA38.00,08259,2422,LSU
25,ColdADC  NBNA38. 00 08255 2422,ColdADC,NBNA38.00,08255,2422,LSU
26,ColdADC  NBNA38.00 08227 2422,ColdADC,NBNA38.00,08227,2422,LSU
